,0
de_ratio,0.04658566154030662
price_close,0.03862799785442073
totalDebt_lag1,0.03787240438262017
totalDebt,0.03619212623999544
currentLiabilities,0.03321350878729517
vol_6m,0.03291755008403092
currentAssets,0.032450464911725166
roe,0.0302758562538338
totalRevenue,0.030195047009415946
totalRevenue_lag1,0.029730980290153645
pe,0.029640332619317988
roa,0.029448631832178027
ret_12m,0.029026163673433376
ret_6m,0.02870904446537571
pe_lag1,0.02833583440572234
totalAssets,0.0283268635771404
operatingCashflow,0.028259483883862107
pb_lag1,0.028193858892406106
totalAssets_lag1,0.02803802686511735
ret_3m,0.02803712134256275
operatingCashflow_lag1,0.028022512438880463
pb,0.027774005869451397
netIncome,0.027697163237633653
totalShareholderEquity,0.027479296658925616
totalShareholderEquity_lag1,0.026958267621592955
netIncome_lag1,0.02654807045732775
netIncome_growth,0.025404631289774767
totalShareholderEquity_growth,0.025303225695695774
totalRevenue_growth,0.024269069531047315
operatingCashflow_growth,0.024120468501405295
ret_1m,0.024070816356950287
pe_growth,0.023270055025409065
totalAssets_growth,0.02326058143498514
pb_growth,0.022770091270866943
totalDebt_growth,0.008974785699139797
