,0
price_close,0.04121257833220019
vol_6m,0.036856441296698045
ret_1m,0.03372003372921919
ret_3m,0.033501563935758254
de_ratio,0.032629449113840095
ret_6m,0.03190821338014818
operatingCashflow_growth,0.031267804615587196
pe,0.031001241545232615
pe_lag1,0.030764714502071737
ret_12m,0.030683444883176866
roe,0.030269902734178337
totalShareholderEquity_growth,0.02931733942666658
currentAssets,0.029309175418066342
roa,0.02914495390465832
totalRevenue_growth,0.02907723617471861
totalDebt,0.028841107696464297
totalDebt_lag1,0.02837951536929457
currentLiabilities,0.028108873786714526
netIncome_growth,0.027682394597978343
operatingCashflow,0.02749848052459633
pb_lag1,0.0273230219726991
operatingCashflow_lag1,0.027291984657865562
totalAssets_growth,0.0272452406822658
totalRevenue,0.027232750383166315
pb,0.02709298177207102
netIncome,0.026761444987886827
netIncome_lag1,0.02661101497673166
pe_growth,0.02659829237734193
totalRevenue_lag1,0.02646114939235915
pb_growth,0.025674241470897214
totalAssets_lag1,0.024713961788144743
totalAssets,0.024413702346053157
totalShareholderEquity_lag1,0.02428820789407124
totalShareholderEquity,0.024189403306227267
totalDebt_growth,0.012928137024950442
