,Accuracy,Precision,Recall,F1,ROC_AUC
3m,0.4813860252004582,0.4928076718167288,0.5184977578475336,0.5053264135482108,0.483826112412178
6m,0.4848224513172967,0.49317073170731707,0.5708639186900056,0.5291808427113321,0.4714505866515568
