,0
totalDebt_lag1,0.057550553
totalDebt,0.04995557
de_ratio,0.044864744
teny_yield,0.03597257
totalDebt_growth,0.03244388
totalAssets_lag1,0.030155282
totalRevenue_lag1,0.029268572
totalRevenue,0.028688904
currentAssets,0.028017094
totalShareholderEquity,0.027879568
totalAssets,0.027629066
currentLiabilities,0.027502447
price_close,0.026653878
pb_lag1,0.026231771
totalShareholderEquity_lag1,0.02618272
netIncome,0.026113778
netIncome_growth,0.025620066
roa,0.02552956
pe,0.02482916
netIncome_lag1,0.024776144
vol_6m,0.024695834
operatingCashflow_lag1,0.024604939
totalAssets_growth,0.024516154
pe_lag1,0.024456153
operatingCashflow,0.024148664
pb,0.023960708
roe,0.02374591
ret_12m,0.023212358
ret_6m,0.022844158
totalShareholderEquity_growth,0.022656618
totalRevenue_growth,0.022303768
operatingCashflow_growth,0.021214887
ret_3m,0.020630155
pb_growth,0.019460252
pe_growth,0.01937789
ret_1m,0.018491434
vix_close,0.013814808
